matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,14,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,29,3,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,15,random/repetition_1,random,random,1,0,16,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,15,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,49,3,win,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,15,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,42,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,15,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,37,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,16,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,37,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,16,random/repetition_1,random,random,1,1,18,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,16,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,40,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,16,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,41,4,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,17,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,25,3,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,17,random/repetition_1,random,random,1,1,16,0,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,17,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,46,4,win,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,17,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,44,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,18,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,33,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,18,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,35,1,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,18,random/repetition_1,random,random,1,2,26,1,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,18,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,50,3,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,19,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,51,2,win,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,19,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,43,4,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,19,random/repetition_1,random,random,1,2,20,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,19,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,31,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,20,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,38,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,20,random/repetition_1,random,random,1,1,31,0,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,20,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,51,2,win,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,20,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,47,3,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,21,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,50,2,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,21,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,40,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,21,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,36,3,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,21,random/repetition_1,random,random,1,3,29,3,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,22,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,45,3,win,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,22,random/repetition_1,random,random,1,1,22,2,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,22,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,34,2,loss,variable_encoder_2_4/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,22,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,36,2,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,23,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,56,3,win,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,23,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,35,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,23,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,38,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,23,random/repetition_1,random,random,1,3,26,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,24,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,40,1,win,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,24,random/repetition_1,random,random,1,1,20,1,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,24,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,32,3,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,24,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,36,4,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,25,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,44,5,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,25,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,35,1,loss,variable_encoder_2_4/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,25,random/repetition_1,random,random,1,2,17,3,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,25,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,46,1,win,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,26,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,45,3,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,26,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,36,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,26,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,37,3,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
