matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
31,3001,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,1,44,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3001,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,46,4,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3002,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,54,4,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3002,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,38,1,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3002,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,46,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3003,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,0,39,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3003,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,42,3,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3003,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,46,3,win,fixed_3p/repetition_3|variable_2_4/repetition_1
31,3004,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,48,2,win,fixed_3p/repetition_3|variable_2_4/repetition_1
31,3004,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,1,42,6,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3004,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,47,0,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3005,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,56,0,win,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3005,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,54,4,loss,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3005,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,42,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3006,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,0,53,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3006,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,54,3,win,fixed_3p/repetition_3|variable_2_4/repetition_1
31,3006,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,43,3,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3007,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,52,2,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3007,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,38,1,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3007,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,43,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
